iteration,pop_best_eval,mean_eval,median_eval,best_eval,worst_eval,total_interaction_count,total_episode_count
59,272.0912780761719,-89.70121765136719,-99.66069030761719,291.9429931640625,-5732.35791015625,767806,9009
60,262.9380798339844,-69.20181274414062,-74.6490478515625,291.9429931640625,-5732.35791015625,782674,9160
61,275.36669921875,-49.5428352355957,-72.90847778320312,291.9429931640625,-5732.35791015625,797083,9311
62,238.46043395996094,-77.82991790771484,-97.88654327392578,291.9429931640625,-5732.35791015625,811402,9462
63,274.425048828125,-55.522186279296875,-79.26348114013672,291.9429931640625,-5732.35791015625,826717,9613
64,237.26329040527344,-59.47464370727539,-76.07575988769531,291.9429931640625,-5732.35791015625,841339,9764
65,283.8805236816406,-53.04301452636719,-74.65834045410156,291.9429931640625,-5732.35791015625,855936,9915
66,239.9990692138672,-64.89474487304688,-81.31448364257812,291.9429931640625,-5732.35791015625,869666,10066
67,240.1685028076172,-67.23344421386719,-82.90411376953125,291.9429931640625,-5732.35791015625,884200,10217
68,227.77069091796875,-75.4943618774414,-86.0492935180664,291.9429931640625,-5732.35791015625,900310,10368
69,259.9856262207031,-70.27735137939453,-80.87196350097656,291.9429931640625,-5732.35791015625,915068,10519
70,241.89501953125,-68.70913696289062,-83.16735076904297,291.9429931640625,-5732.35791015625,929173,10670
71,267.51031494140625,-52.8418083190918,-71.78837585449219,291.9429931640625,-5732.35791015625,944160,10821
72,276.3157653808594,-58.95100402832031,-77.3714828491211,291.9429931640625,-5732.35791015625,959737,10972
73,269.0850830078125,-51.095829010009766,-64.87834930419922,291.9429931640625,-5732.35791015625,973521,11123
74,256.5975341796875,-40.71315002441406,-56.195213317871094,291.9429931640625,-5732.35791015625,986917,11274
75,270.5403747558594,-52.50545883178711,-63.023258209228516,291.9429931640625,-5732.35791015625,1002493,11425
76,266.4132080078125,-55.897518157958984,-60.25041580200195,291.9429931640625,-5732.35791015625,1017051,11576
77,267.75946044921875,-39.72117233276367,-58.64930725097656,291.9429931640625,-5732.35791015625,1033044,11727
78,270.47235107421875,-52.493751525878906,-76.93657684326172,291.9429931640625,-5732.35791015625,1048492,11878
79,279.0942077636719,-37.343997955322266,-48.70903396606445,291.9429931640625,-5732.35791015625,1063690,12029
80,275.26287841796875,-39.59980773925781,-50.9517936706543,291.9429931640625,-5732.35791015625,1078555,12180
81,287.3278503417969,-41.027584075927734,-59.122283935546875,291.9429931640625,-5732.35791015625,1094417,12331
82,287.1400146484375,-53.20977020263672,-76.90925598144531,291.9429931640625,-5732.35791015625,1110833,12482
83,245.99720764160156,-50.7250862121582,-71.16642761230469,291.9429931640625,-5732.35791015625,1126142,12633
84,281.30322265625,-42.40827941894531,-61.21516799926758,291.9429931640625,-5732.35791015625,1142557,12784
85,273.24371337890625,-50.931026458740234,-60.89460754394531,291.9429931640625,-5732.35791015625,1157889,12935
86,278.1354675292969,-48.69569396972656,-65.84561157226562,291.9429931640625,-5732.35791015625,1173092,13086
87,284.40509033203125,-49.96022033691406,-60.59520721435547,291.9429931640625,-5732.35791015625,1187949,13237
88,256.7652587890625,-54.30735397338867,-67.60814666748047,291.9429931640625,-5732.35791015625,1202727,13388
89,280.6534118652344,-44.82387161254883,-42.69438934326172,291.9429931640625,-5732.35791015625,1217353,13539
90,264.4066162109375,-56.10775375366211,-67.2275390625,291.9429931640625,-5732.35791015625,1232407,13690
91,235.41746520996094,-56.08320617675781,-64.72534942626953,291.9429931640625,-5732.35791015625,1245818,13841
92,267.7174072265625,-41.50327682495117,-61.24890899658203,291.9429931640625,-5732.35791015625,1260742,13992
93,254.8031768798828,-69.5921859741211,-79.64720916748047,291.9429931640625,-5732.35791015625,1276003,14143
94,278.7697448730469,-68.91182708740234,-77.46517181396484,291.9429931640625,-5732.35791015625,1290735,14294
95,290.0777282714844,-72.31436157226562,-86.2774429321289,291.9429931640625,-5732.35791015625,1304842,14445
96,284.6269226074219,-68.90003204345703,-89.64627838134766,291.9429931640625,-5732.35791015625,1318551,14596
97,275.76593017578125,-46.354248046875,-78.90638732910156,291.9429931640625,-5732.35791015625,1333543,14747
98,253.3023223876953,-44.6900520324707,-57.709571838378906,291.9429931640625,-5732.35791015625,1348005,14898
99,281.49005126953125,-42.688045501708984,-43.01219940185547,291.9429931640625,-5732.35791015625,1362457,15049
100,255.61509704589844,-68.04174041748047,-82.03168487548828,291.9429931640625,-5732.35791015625,1377248,15200
101,278.4337158203125,-41.845184326171875,-57.12023162841797,291.9429931640625,-5732.35791015625,1392712,15351
102,277.2851257324219,-38.453697204589844,-55.90137481689453,291.9429931640625,-5732.35791015625,1407523,15502
103,292.925537109375,-56.476966857910156,-61.88072204589844,292.925537109375,-5732.35791015625,1422264,15653
104,280.249755859375,-51.42482376098633,-61.57370376586914,292.925537109375,-5732.35791015625,1436230,15804
105,257.74169921875,-58.07259750366211,-65.93389129638672,292.925537109375,-5732.35791015625,1450331,15955
106,251.37503051757812,-45.865360260009766,-55.929771423339844,292.925537109375,-5732.35791015625,1464601,16106
107,296.04144287109375,-43.18830871582031,-63.71073532104492,296.04144287109375,-5732.35791015625,1479005,16257
108,293.9764709472656,-43.819427490234375,-61.63911819458008,296.04144287109375,-5732.35791015625,1494194,16408
109,275.5419921875,-38.9599609375,-71.43854522705078,296.04144287109375,-5732.35791015625,1510285,16559
110,279.0751647949219,-26.82672691345215,-50.499603271484375,296.04144287109375,-5732.35791015625,1526035,16710
111,252.6779327392578,-67.31916809082031,-78.46595764160156,296.04144287109375,-5732.35791015625,1540377,16861
112,246.70191955566406,-58.922245025634766,-69.3583984375,296.04144287109375,-5732.35791015625,1555043,17012
113,264.7579650878906,-50.18748474121094,-63.29365921020508,296.04144287109375,-5732.35791015625,1569473,17163
114,262.8708190917969,-45.05854034423828,-68.33506774902344,296.04144287109375,-5732.35791015625,1583729,17314
115,283.26788330078125,-31.37970733642578,-48.22344970703125,296.04144287109375,-5732.35791015625,1599035,17465
116,232.76260375976562,-50.78428268432617,-63.98482131958008,296.04144287109375,-5732.35791015625,1612960,17616
117,267.4366149902344,-47.0503044128418,-58.50509262084961,296.04144287109375,-5732.35791015625,1628355,17767
118,272.6908874511719,-31.40829849243164,-41.43735885620117,296.04144287109375,-5732.35791015625,1642539,17918
119,258.8464050292969,-47.6142578125,-53.01615905761719,296.04144287109375,-5732.35791015625,1656644,18069
120,286.298583984375,-39.56074523925781,-52.54006576538086,296.04144287109375,-5732.35791015625,1671409,18220
121,274.00830078125,-59.941524505615234,-61.740291595458984,296.04144287109375,-5732.35791015625,1685192,18371
122,239.69845581054688,-37.668495178222656,-43.854270935058594,296.04144287109375,-5732.35791015625,1699495,18522
123,240.8974151611328,-39.88352584838867,-45.0809326171875,296.04144287109375,-5732.35791015625,1713652,18673
124,273.1567687988281,-47.268192291259766,-56.521446228027344,296.04144287109375,-5732.35791015625,1728067,18824
125,258.53387451171875,-53.77767562866211,-68.9131088256836,296.04144287109375,-5732.35791015625,1742322,18975
126,254.10165405273438,-52.128902435302734,-69.59695434570312,296.04144287109375,-5732.35791015625,1758105,19126
127,227.144775390625,-68.59142303466797,-75.39517211914062,296.04144287109375,-5732.35791015625,1772155,19277
128,266.7010498046875,-44.281761169433594,-53.3634033203125,296.04144287109375,-5732.35791015625,1787245,19428
129,237.2268524169922,-44.03018569946289,-57.42982482910156,296.04144287109375,-5732.35791015625,1801186,19579
130,273.6223449707031,-48.96644973754883,-55.9194221496582,296.04144287109375,-5732.35791015625,1814839,19730
131,281.6640319824219,-48.4601936340332,-61.85260009765625,296.04144287109375,-5732.35791015625,1829037,19881
132,286.0972900390625,-48.127235412597656,-65.47650909423828,296.04144287109375,-5732.35791015625,1844540,20032
133,283.4317626953125,-39.71110534667969,-57.32445526123047,296.04144287109375,-5732.35791015625,1860786,20183
134,253.72848510742188,-62.48064422607422,-85.64896392822266,296.04144287109375,-5732.35791015625,1876120,20334
135,263.86590576171875,-44.133094787597656,-55.841827392578125,296.04144287109375,-5732.35791015625,1891157,20485
136,274.49285888671875,-43.282806396484375,-62.746646881103516,296.04144287109375,-5732.35791015625,1907543,20636
137,262.1788330078125,-52.42488098144531,-67.65624237060547,296.04144287109375,-5732.35791015625,1922895,20787
138,268.9316101074219,-47.789608001708984,-61.176143646240234,296.04144287109375,-5732.35791015625,1938342,20938
139,275.2358093261719,-29.168798446655273,-64.48567199707031,296.04144287109375,-5732.35791015625,1954430,21089
140,244.65687561035156,-62.336910247802734,-71.65219116210938,296.04144287109375,-5732.35791015625,1969581,21240
141,269.74725341796875,-40.64261245727539,-69.77042388916016,296.04144287109375,-5732.35791015625,1984773,21391
142,260.5901184082031,-65.8058090209961,-73.88613891601562,296.04144287109375,-5732.35791015625,1998621,21542
143,271.38873291015625,-61.63789367675781,-77.64273834228516,296.04144287109375,-5732.35791015625,2012349,21693
144,255.22210693359375,-67.40188598632812,-78.59209442138672,296.04144287109375,-5732.35791015625,2025757,21844
145,275.59375,-47.32575607299805,-67.01692199707031,296.04144287109375,-5732.35791015625,2039689,21995
146,271.2071533203125,-45.5073356628418,-68.81938934326172,296.04144287109375,-5732.35791015625,2053915,22146
147,62.78565979003906,-59.03042984008789,-65.11553955078125,296.04144287109375,-5732.35791015625,2066964,22297
148,239.3990478515625,-60.33452606201172,-66.02241516113281,296.04144287109375,-5732.35791015625,2080182,22448
149,273.90411376953125,-35.36716079711914,-52.02254867553711,296.04144287109375,-5732.35791015625,2094874,22599
150,283.2606506347656,-47.799110412597656,-58.26277160644531,296.04144287109375,-5732.35791015625,2109299,22750
151,284.23052978515625,-43.26302719116211,-57.987510681152344,296.04144287109375,-5732.35791015625,2123764,22901
152,250.2266845703125,-57.31080627441406,-69.51021575927734,296.04144287109375,-5732.35791015625,2138065,23052
153,244.26873779296875,-54.271846771240234,-59.33048629760742,296.04144287109375,-5732.35791015625,2152060,23203
154,253.06863403320312,-51.18185043334961,-66.21261596679688,296.04144287109375,-5732.35791015625,2166589,23354
155,278.63848876953125,-35.927757263183594,-60.47841262817383,296.04144287109375,-5732.35791015625,2180972,23505
156,254.3587188720703,-56.807342529296875,-65.83038330078125,296.04144287109375,-5732.35791015625,2194517,23656
157,270.80157470703125,-40.318782806396484,-55.89915466308594,296.04144287109375,-5732.35791015625,2208160,23807
158,267.1612243652344,-39.147342681884766,-66.2353286743164,296.04144287109375,-5732.35791015625,2223000,23958
159,258.0740661621094,-45.909202575683594,-68.13925170898438,296.04144287109375,-5732.35791015625,2236652,24109
160,252.50656127929688,-38.59123229980469,-54.463008880615234,296.04144287109375,-5732.35791015625,2250095,24260
161,283.8064270019531,-36.99540328979492,-57.83370590209961,296.04144287109375,-5732.35791015625,2263770,24411
162,239.2345428466797,-52.0968132019043,-69.12354278564453,296.04144287109375,-5732.35791015625,2277109,24562
163,265.06805419921875,-50.8793830871582,-67.16353607177734,296.04144287109375,-5732.35791015625,2290638,24713
164,279.8554992675781,-31.34484100341797,-47.13638687133789,296.04144287109375,-5732.35791015625,2305139,24864
165,266.9830017089844,-42.582611083984375,-60.65182113647461,296.04144287109375,-5732.35791015625,2319597,25015
166,277.6512451171875,-45.20490264892578,-58.15104293823242,296.04144287109375,-5732.35791015625,2333537,25166
167,290.7969970703125,-50.758827209472656,-58.001556396484375,296.04144287109375,-5732.35791015625,2347799,25317
168,253.91204833984375,-47.25062942504883,-56.58838653564453,296.04144287109375,-5732.35791015625,2361036,25468
