,Id,epoch,parameters,population_size,best_eval,train_precision,train_recall,train_f1,train_accuracy,val_precision,val_recall,val_f1,val_accuracy,mean_eval,median_eval,pop_best_eval,algorithm
0,"epoch:1,parameters:67,pop_size:50,algorithm:SNES",1,67,50,0.8218902349472046,0.45381944444444444,0.6583333333333333,0.5314086814086814,0.6583333333333333,0.5153110047846889,0.7,0.5863492063492063,0.7,1.4343435764312744,1.3186068534851074,0.8218902349472046,SNES
1,"epoch:2,parameters:67,pop_size:50,algorithm:SNES",2,67,50,0.7980403900146484,0.8613970588235295,0.7583333333333333,0.724966202315876,0.7583333333333333,0.8854166666666666,0.8333333333333334,0.8167141500474834,0.8333333333333334,1.5135605335235596,1.3274506330490112,0.7980403900146484,SNES
2,"epoch:3,parameters:67,pop_size:50,algorithm:SNES",3,67,50,0.7980403900146484,0.10562500000000001,0.325,0.15943396226415094,0.325,0.13444444444444445,0.36666666666666664,0.1967479674796748,0.36666666666666664,1.5470577478408813,1.323113203048706,0.9747422933578491,SNES
3,"epoch:4,parameters:67,pop_size:50,algorithm:SNES",4,67,50,0.7980403900146484,0.45105042016806723,0.35,0.19136432926829267,0.35,0.09,0.3,0.13846153846153847,0.3,1.3859106302261353,1.277968406677246,0.8365757465362549,SNES
4,"epoch:5,parameters:67,pop_size:50,algorithm:SNES",5,67,50,0.7980403900146484,0.4917708333333334,0.6583333333333333,0.546358543417367,0.6583333333333333,0.535,0.7,0.5935483870967742,0.7,1.4355213642120361,1.3255043029785156,0.8056226372718811,SNES
5,"epoch:6,parameters:67,pop_size:50,algorithm:SNES",6,67,50,0.7980403900146484,0.4835942028985507,0.36666666666666664,0.25880230880230876,0.36666666666666664,0.5333333333333333,0.43333333333333335,0.3793650793650793,0.43333333333333335,1.4141731262207031,1.291560173034668,0.81037837266922,SNES
6,"epoch:7,parameters:67,pop_size:50,algorithm:SNES",7,67,50,0.6955884695053101,0.5084375,0.675,0.5648760330578513,0.675,0.4683333333333334,0.6333333333333333,0.5195402298850574,0.6333333333333333,1.2829588651657104,1.170455813407898,0.6955884695053101,SNES
7,"epoch:8,parameters:67,pop_size:50,algorithm:SNES",8,67,50,0.6955884695053101,0.4917708333333334,0.6583333333333333,0.546358543417367,0.6583333333333333,0.535,0.7,0.5935483870967742,0.7,1.2118346691131592,1.126107096672058,0.7289803624153137,SNES
8,"epoch:9,parameters:67,pop_size:50,algorithm:SNES",9,67,50,0.614058256149292,0.5631018518518519,0.5416666666666666,0.5057239943385853,0.5416666666666666,0.6979797979797979,0.6,0.5822222222222222,0.6,1.258470058441162,1.0647499561309814,0.614058256149292,SNES
9,"epoch:10,parameters:67,pop_size:50,algorithm:SNES",10,67,50,0.5967626571655273,0.4917708333333334,0.6583333333333333,0.546358543417367,0.6583333333333333,0.535,0.7,0.5935483870967742,0.7,1.4638237953186035,1.1845263242721558,0.5967626571655273,SNES
10,"epoch:11,parameters:67,pop_size:50,algorithm:SNES",11,67,50,0.5967626571655273,0.4917708333333334,0.5666666666666667,0.49321844679900945,0.5666666666666667,0.535,0.5666666666666667,0.5102150537634409,0.5666666666666667,1.3549576997756958,1.1516011953353882,0.7693796157836914,SNES
11,"epoch:12,parameters:67,pop_size:50,algorithm:SNES",12,67,50,0.48067280650138855,0.4917708333333334,0.6583333333333333,0.546358543417367,0.6583333333333333,0.535,0.7,0.5935483870967742,0.7,1.193974256515503,1.0527108907699585,0.48067280650138855,SNES
12,"epoch:13,parameters:67,pop_size:50,algorithm:SNES",13,67,50,0.48067280650138855,0.4917708333333334,0.6583333333333333,0.546358543417367,0.6583333333333333,0.535,0.7,0.5935483870967742,0.7,1.0793423652648926,0.9044446349143982,0.5050893425941467,SNES
13,"epoch:14,parameters:67,pop_size:50,algorithm:SNES",14,67,50,0.48067280650138855,0.9549381005173688,0.95,0.949332776199013,0.95,0.8350815850815851,0.8333333333333334,0.823015873015873,0.8333333333333334,1.3823750019073486,1.086090087890625,0.5242087244987488,SNES
14,"epoch:15,parameters:67,pop_size:50,algorithm:SNES",15,67,50,0.48067280650138855,0.5084375,0.675,0.5648760330578513,0.675,0.4683333333333334,0.6333333333333333,0.5195402298850574,0.6333333333333333,1.1659091711044312,0.8950745463371277,0.4959646165370941,SNES
15,"epoch:16,parameters:67,pop_size:50,algorithm:SNES",16,67,50,0.3305800259113312,0.9392649903288202,0.9333333333333333,0.9328282828282828,0.9333333333333333,0.9076923076923077,0.8666666666666667,0.863973063973064,0.8666666666666667,1.1012498140335083,0.7974103093147278,0.3305800259113312,SNES
16,"epoch:17,parameters:67,pop_size:50,algorithm:SNES",17,67,50,0.3305800259113312,0.9365507697630169,0.925,0.9235289278517838,0.925,0.9214285714285714,0.9,0.896,0.9,0.9625164866447449,0.8244173526763916,0.4031127095222473,SNES
17,"epoch:18,parameters:67,pop_size:50,algorithm:SNES",18,67,50,0.3305800259113312,0.9392649903288202,0.9333333333333333,0.9328282828282828,0.9333333333333333,0.8928571428571428,0.8333333333333334,0.8269394714407503,0.8333333333333334,0.9512096643447876,0.7676951289176941,0.39631667733192444,SNES
18,"epoch:19,parameters:67,pop_size:50,algorithm:SNES",19,67,50,0.3305800259113312,0.8375,0.675,0.5817829457364341,0.675,0.535,0.7,0.5935483870967742,0.7,0.7625568509101868,0.5981717705726624,0.3496861457824707,SNES
19,"epoch:20,parameters:67,pop_size:50,algorithm:SNES",20,67,50,0.3305800259113312,0.9151002929907596,0.9,0.898081841432225,0.9,0.8928571428571428,0.8333333333333334,0.8269394714407503,0.8333333333333334,0.7039918303489685,0.5785501599311829,0.33589914441108704,SNES
20,"epoch:21,parameters:67,pop_size:50,algorithm:SNES",21,67,50,0.3305800259113312,0.9841463414634146,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9694444444444444,0.9666666666666667,0.9664109121909632,0.9666666666666667,0.9874908328056335,0.6799537539482117,0.3506318926811218,SNES
21,"epoch:22,parameters:67,pop_size:50,algorithm:SNES",22,67,50,0.29898205399513245,0.9566666666666668,0.95,0.9498120300751881,0.95,0.9435897435897436,0.9333333333333333,0.9319444444444444,0.9333333333333333,0.8417483568191528,0.6080577373504639,0.29898205399513245,SNES
22,"epoch:23,parameters:67,pop_size:50,algorithm:SNES",23,67,50,0.26417428255081177,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.8541666666666666,0.8333333333333334,0.8320802005012531,0.8333333333333334,0.8338081240653992,0.6770680546760559,0.26417428255081177,SNES
23,"epoch:24,parameters:67,pop_size:50,algorithm:SNES",24,67,50,0.22504152357578278,0.9458759590792838,0.9416666666666667,0.9413451949824174,0.9416666666666667,0.9076923076923077,0.8666666666666667,0.863973063973064,0.8666666666666667,0.7718132138252258,0.6100650429725647,0.22504152357578278,SNES
24,"epoch:25,parameters:67,pop_size:50,algorithm:SNES",25,67,50,0.22504152357578278,0.9599116161616161,0.9583333333333334,0.9582352941176472,0.9583333333333334,0.9076923076923077,0.8666666666666667,0.863973063973064,0.8666666666666667,0.7941381931304932,0.6711490154266357,0.2699664235115051,SNES
25,"epoch:26,parameters:67,pop_size:50,algorithm:SNES",26,67,50,0.22504152357578278,0.9630681818181818,0.9583333333333334,0.9582355395608407,0.9583333333333334,0.9694444444444444,0.9666666666666667,0.9664109121909632,0.9666666666666667,0.8725674152374268,0.6719246506690979,0.22753673791885376,SNES
26,"epoch:27,parameters:67,pop_size:50,algorithm:SNES",27,67,50,0.22504152357578278,0.9630681818181818,0.9583333333333334,0.9582355395608407,0.9583333333333334,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8659393787384033,0.6692909002304077,0.27323055267333984,SNES
27,"epoch:28,parameters:67,pop_size:50,algorithm:SNES",28,67,50,0.2097812443971634,0.9054545454545455,0.8666666666666667,0.861852568235547,0.8666666666666667,0.8705882352941177,0.8,0.7714285714285715,0.8,0.8941803574562073,0.6162657737731934,0.2097812443971634,SNES
28,"epoch:29,parameters:67,pop_size:50,algorithm:SNES",29,67,50,0.2097812443971634,0.9392649903288202,0.9333333333333333,0.9328282828282828,0.9333333333333333,0.8928571428571428,0.8333333333333334,0.8269394714407503,0.8333333333333334,0.7514462471008301,0.5774259567260742,0.32595109939575195,SNES
29,"epoch:30,parameters:67,pop_size:50,algorithm:SNES",30,67,50,0.20386429131031036,0.9485365853658538,0.9416666666666667,0.9407815990593769,0.9416666666666667,0.9435897435897436,0.9333333333333333,0.9319444444444444,0.9333333333333333,0.7528108358383179,0.6231191158294678,0.20386429131031036,SNES
30,"epoch:31,parameters:67,pop_size:50,algorithm:SNES",31,67,50,0.20386429131031036,0.9162086288416075,0.9083333333333333,0.9079709050639283,0.9083333333333333,0.8464285714285714,0.8333333333333334,0.830727668845316,0.8333333333333334,0.9078422784805298,0.6945608854293823,0.21453407406806946,SNES
